date,state,area,number_of_monitoring_stations,prominent_pollutants,aqi_value,air_quality_status,unit,note,fireCount
2022-04-12,Punjab,Ludhiana,1.0,PM2.5,201.0,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0
2022-04-12,Punjab,Patiala,1.0,PM10,153.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0
2022-04-12,Punjab,Rupnagar,1.0,PM10,132.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0
2022-04-13,Punjab,Amritsar,1.0,PM10,137.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0
2022-04-13,Punjab,Bathinda,1.0,PM2.5,185.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0
2022-04-13,Punjab,Jalandhar,1.0,PM10,147.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0
2022-04-13,Punjab,Ludhiana,1.0,PM10,166.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0
2022-04-13,Punjab,Patiala,1.0,PM10,181.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,2.0
2022-04-14,Punjab,Amritsar,1.0,PM10,102.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0
2022-04-14,Punjab,Bathinda,1.0,PM10,102.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,1.0
2022-04-14,Punjab,Jalandhar,1.0,PM10,93.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0
2022-04-14,Punjab,Ludhiana,1.0,PM10,130.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0
2022-04-14,Punjab,Patiala,1.0,PM10,142.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0
2022-04-14,Punjab,Rupnagar,1.0,PM10,93.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0
2022-04-15,Punjab,Amritsar,1.0,PM10,90.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0
2022-04-15,Punjab,Bathinda,1.0,PM10,128.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0
2022-04-15,Punjab,Jalandhar,1.0,PM10,115.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0
2022-04-15,Punjab,Ludhiana,1.0,PM10,118.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0
2022-04-15,Punjab,Patiala,1.0,O3,155.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0
2022-04-15,Punjab,Rupnagar,1.0,PM10,83.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0
2022-04-16,Punjab,Amritsar,1.0,PM10,90.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,2.0
2022-04-16,Punjab,Bathinda,1.0,PM10,80.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0
2022-04-16,Punjab,Jalandhar,1.0,PM10,123.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0
2022-04-16,Punjab,Ludhiana,1.0,PM10,103.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,2.0
2022-04-16,Punjab,Patiala,1.0,O3,111.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0
2022-04-16,Punjab,Rupnagar,1.0,PM10,115.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0
2022-04-17,Punjab,Amritsar,1.0,PM10,73.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0
2022-04-17,Punjab,Bathinda,1.0,PM10,87.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,3.0
2022-04-17,Punjab,Jalandhar,1.0,PM10,106.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0
2022-04-17,Punjab,Ludhiana,1.0,PM10,74.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,1.0
2022-04-17,Punjab,Patiala,1.0,O3,159.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0
2022-04-17,Punjab,Rupnagar,1.0,PM10,127.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0
2022-04-18,Punjab,Amritsar,1.0,PM10,109.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0
2022-04-18,Punjab,Bathinda,1.0,PM10,88.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0
2022-04-18,Punjab,Jalandhar,1.0,PM10,145.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,1.0
2022-04-18,Punjab,Ludhiana,1.0,O3,98.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,4.0
2022-04-18,Punjab,Patiala,1.0,O3,150.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,2.0
2022-04-18,Punjab,Rupnagar,1.0,PM10,122.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0
2022-04-19,Punjab,Amritsar,1.0,PM10,197.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,1.0
2022-04-19,Punjab,Bathinda,1.0,PM10,184.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0
2022-04-19,Punjab,Jalandhar,1.0,PM10,221.0,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,2.0
2022-04-19,Punjab,Ludhiana,1.0,PM10,154.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,1.0
2022-04-19,Punjab,Patiala,1.0,PM10,147.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,3.0
2022-04-19,Punjab,Rupnagar,1.0,PM10,142.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0
2022-04-20,Punjab,Amritsar,1.0,PM10,114.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,2.0
2022-04-20,Punjab,Bathinda,1.0,PM10,199.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0
2022-04-20,Punjab,Jalandhar,1.0,PM10,147.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,3.0
2022-04-20,Punjab,Ludhiana,1.0,PM10,125.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,1.0
2022-04-20,Punjab,Patiala,1.0,PM10,163.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,11.0
2022-04-20,Punjab,Rupnagar,1.0,PM10,122.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0
2022-04-21,Punjab,Amritsar,1.0,PM10,122.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0
2022-04-21,Punjab,Bathinda,1.0,PM10,267.0,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0
2022-04-21,Punjab,Jalandhar,1.0,PM10,146.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0
2022-04-21,Punjab,Ludhiana,1.0,PM10,128.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0
2022-04-21,Punjab,Patiala,1.0,PM10,157.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0
2022-04-22,Punjab,Amritsar,1.0,PM10,72.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0
2022-04-22,Punjab,Bathinda,1.0,PM10,67.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,6.0
2022-04-22,Punjab,Jalandhar,1.0,PM10,80.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,4.0
2022-04-22,Punjab,Ludhiana,1.0,PM10,94.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,1.0
2022-04-22,Punjab,Patiala,1.0,PM10,119.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0
2022-04-22,Punjab,Rupnagar,1.0,PM10,98.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0
2022-04-23,Punjab,Amritsar,1.0,NO2,96.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,1.0
2022-04-23,Punjab,Bathinda,1.0,PM10,69.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0
2022-04-23,Punjab,Jalandhar,1.0,PM10,130.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0
2022-04-23,Punjab,Ludhiana,1.0,PM10,114.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,2.0
2022-04-23,Punjab,Patiala,1.0,PM10,147.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,3.0
2022-04-23,Punjab,Rupnagar,1.0,PM10,95.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0
2022-04-24,Punjab,Amritsar,1.0,NO2,140.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,15.0
2022-04-24,Punjab,Jalandhar,1.0,PM10,103.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,31.0
2022-04-24,Punjab,Ludhiana,1.0,PM10,114.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,8.0
2022-04-24,Punjab,Patiala,1.0,PM10,130.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,15.0
2022-04-24,Punjab,Rupnagar,1.0,PM10,95.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0
2022-04-25,Punjab,Amritsar,1.0,NO2,115.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,1.0
2022-04-25,Punjab,Bathinda,1.0,PM2.5,194.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,4.0
2022-04-25,Punjab,Jalandhar,1.0,PM10,136.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,12.0
2022-04-25,Punjab,Ludhiana,1.0,PM10,132.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,3.0
2022-04-25,Punjab,Patiala,1.0,PM10,140.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,4.0
2022-04-25,Punjab,Rupnagar,1.0,PM10,112.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0
2022-04-26,Punjab,Amritsar,1.0,NO2,104.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,4.0
2022-04-26,Punjab,Bathinda,1.0,PM10,139.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,53.0
2022-04-26,Punjab,Jalandhar,1.0,PM10,152.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,6.0
2022-04-26,Punjab,Ludhiana,1.0,PM10,131.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,9.0
2022-04-26,Punjab,Patiala,1.0,PM10,132.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,14.0
2022-04-26,Punjab,Rupnagar,1.0,PM10,115.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0
2022-04-27,Punjab,Amritsar,1.0,PM10,100.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,41.0
2022-04-27,Punjab,Bathinda,1.0,PM10,152.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,93.0
2022-04-27,Punjab,Jalandhar,1.0,PM10,182.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,28.0
2022-04-27,Punjab,Ludhiana,1.0,O3,154.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,37.0
2022-04-27,Punjab,Patiala,1.0,PM10,131.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,58.0
2022-04-27,Punjab,Rupnagar,1.0,PM10,98.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,4.0
2022-04-28,Punjab,Amritsar,1.0,PM2.5,156.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,37.0
2022-04-28,Punjab,Bathinda,1.0,PM10,160.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,65.0
2022-04-28,Punjab,Jalandhar,1.0,PM10,162.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,25.0
2022-04-28,Punjab,Ludhiana,1.0,PM2.5,178.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,38.0
2022-04-28,Punjab,Patiala,1.0,PM10,163.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,32.0
2022-04-28,Punjab,Rupnagar,1.0,PM10,108.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,5.0
2022-04-29,Punjab,Amritsar,1.0,PM10,111.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,86.0
2022-04-29,Punjab,Bathinda,1.0,PM10,194.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,41.0
2022-04-29,Punjab,Jalandhar,1.0,PM10,119.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,8.0
2022-04-29,Punjab,Ludhiana,1.0,PM2.5,152.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,64.0
2022-04-29,Punjab,Patiala,1.0,PM2.5,178.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,52.0
2022-04-29,Punjab,Rupnagar,1.0,PM10,100.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0
2022-04-30,Punjab,Amritsar,1.0,PM2.5,136.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,87.0
2022-04-30,Punjab,Bathinda,1.0,PM10,165.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,42.0
2022-04-30,Punjab,Jalandhar,1.0,PM10,148.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,9.0
2022-04-30,Punjab,Ludhiana,1.0,PM2.5,140.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,23.0
2022-04-30,Punjab,Patiala,1.0,PM10,162.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,32.0
2022-04-30,Punjab,Rupnagar,1.0,PM10,102.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,2.0
2022-05-01,Punjab,Amritsar,1.0,PM10,127.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,61.0
2022-05-01,Punjab,Bathinda,1.0,PM10,298.0,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,53.0
2022-05-01,Punjab,Jalandhar,1.0,PM10,136.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,11.0
2022-05-01,Punjab,Ludhiana,1.0,PM10,203.0,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,26.0
2022-05-01,Punjab,Patiala,1.0,PM10,195.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,11.0
2022-05-01,Punjab,Rupnagar,1.0,PM10,100.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0
2022-05-02,Punjab,Amritsar,1.0,PM10,131.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,263.0
